source,target,relationship,weight
acura,acuramedium,has_size,
acura,acuralarge,has_size,
alfa-romeo,alfa-romeomedium,has_size,
alfa-romeo,alfa-romeosmall,has_size,
alfa-romeo,alfa-romeolarge,has_size,
alpine,alpinemedium,has_size,
ariel,arielsmall,has_size,
aston-martin,aston-martinmedium,has_size,
aston-martin,aston-martinlarge,has_size,
audi,audilarge,has_size,
audi,audimedium,has_size,
audi,audismall,has_size,
bentley,bentleylarge,has_size,
bentley,bentleymedium,has_size,
bmw,bmwlarge,has_size,
bmw,bmwmedium,has_size,
bmw,bmwsmall,has_size,
bufori,buforimedium,has_size,
bugatti,bugattimedium,has_size,
buick,buicksmall,has_size,
buick,buicklarge,has_size,
buick,buickmedium,has_size,
cadillac,cadillaclarge,has_size,
cadillac,cadillacmedium,has_size,
caterham,caterhamsmall,has_size,
chevrolet,chevroletlarge,has_size,
chevrolet,chevroletsmall,has_size,
chevrolet,chevroletmedium,has_size,
chrysler,chryslermedium,has_size,
citroen,citroensmall,has_size,
citroen,citroenmedium,has_size,
citroen,citroenlarge,has_size,
dacia,dacialarge,has_size,
dacia,daciasmall,has_size,
dacia,daciamedium,has_size,
daihatsu,daihatsusmall,has_size,
datsun,datsunmedium,has_size,
dodge,dodgelarge,has_size,
dodge,dodgemedium,has_size,
ferrari,ferrarimedium,has_size,
ferrari,ferrarilarge,has_size,
fiat,fiatsmall,has_size,
fiat,fiatlarge,has_size,
fiat,fiatmedium,has_size,
fisker,fiskerlarge,has_size,
ford,fordmedium,has_size,
ford,fordlarge,has_size,
ford,fordsmall,has_size,
holden,holdenmedium,has_size,
holden,holdenlarge,has_size,
holden,holdensmall,has_size,
honda,hondalarge,has_size,
honda,hondamedium,has_size,
honda,hondasmall,has_size,
hyundai,hyundailarge,has_size,
hyundai,hyundaimedium,has_size,
hyundai,hyundaismall,has_size,
ineos,ineoslarge,has_size,
infiniti,infinitilarge,has_size,
infiniti,infinitimedium,has_size,
jaguar,jaguarmedium,has_size,
jaguar,jaguarlarge,has_size,
jeep,jeeplarge,has_size,
jeep,jeepmedium,has_size,
kia,kiasmall,has_size,
kia,kiamedium,has_size,
kia,kialarge,has_size,
koenigsegg,koenigseggmedium,has_size,
ktm,ktmmedium,has_size,
lada,ladamedium,has_size,
lada,ladalarge,has_size,
lamborghini,lamborghinimedium,has_size,
lamborghini,lamborghinilarge,has_size,
lancia,lanciasmall,has_size,
land-rover,land-roverlarge,has_size,
lexus,lexuslarge,has_size,
lexus,lexusmedium,has_size,
lightyear,lightyearmedium,has_size,
lincoln,lincolnlarge,has_size,
lincoln,lincolnmedium,has_size,
lotus,lotusmedium,has_size,
lotus,lotuslarge,has_size,
maserati,maseratimedium,has_size,
maserati,maseratilarge,has_size,
mazda,mazdasmall,has_size,
mazda,mazdamedium,has_size,
mazda,mazdalarge,has_size,
mclaren,mclarenmedium,has_size,
mercedes-amg,mercedes-amgmedium,has_size,
mercedes-amg,mercedes-amglarge,has_size,
mercedes-amg,mercedes-amgsmall,has_size,
mercedes-benz,mercedes-benzlarge,has_size,
mercedes-benz,mercedes-benzmedium,has_size,
mg,mglarge,has_size,
mg,mgmedium,has_size,
mg,mgsmall,has_size,
mini,minimedium,has_size,
mini,minilarge,has_size,
mini,minismall,has_size,
mitsubishi,mitsubishilarge,has_size,
mitsubishi,mitsubishimedium,has_size,
mitsubishi,mitsubishismall,has_size,
morgan,morganmedium,has_size,
